y,dow,doy,year,month,quarter,hour,weekday,woy,dom,date,season,ds,is_spring,is_summer,is_autumn,is_winter,is_weekend,is_weekday
1793.0,4,1,2016,1,1,0,Friday,53,1,2016-01-01,1,01-01 00:00:00,False,False,False,True,False,True
1741.0,4,1,2016,1,1,1,Friday,53,1,2016-01-01,1,01-01 01:00:00,False,False,False,True,False,True
1694.0,4,1,2016,1,1,2,Friday,53,1,2016-01-01,1,01-01 02:00:00,False,False,False,True,False,True
1659.0,4,1,2016,1,1,3,Friday,53,1,2016-01-01,1,01-01 03:00:00,False,False,False,True,False,True
1630.0,4,1,2016,1,1,4,Friday,53,1,2016-01-01,1,01-01 04:00:00,False,False,False,True,False,True
1643.0,4,1,2016,1,1,5,Friday,53,1,2016-01-01,1,01-01 05:00:00,False,False,False,True,False,True
1677.0,4,1,2016,1,1,6,Friday,53,1,2016-01-01,1,01-01 06:00:00,False,False,False,True,False,True
1719.0,4,1,2016,1,1,7,Friday,53,1,2016-01-01,1,01-01 07:00:00,False,False,False,True,False,True
1780.0,4,1,2016,1,1,8,Friday,53,1,2016-01-01,1,01-01 08:00:00,False,False,False,True,False,True
1793.0,4,1,2016,1,1,9,Friday,53,1,2016-01-01,1,01-01 09:00:00,False,False,False,True,False,True
1854.0,4,1,2016,1,1,10,Friday,53,1,2016-01-01,1,01-01 10:00:00,False,False,False,True,False,True
1883.0,4,1,2016,1,1,11,Friday,53,1,2016-01-01,1,01-01 11:00:00,False,False,False,True,False,True
1906.0,4,1,2016,1,1,12,Friday,53,1,2016-01-01,1,01-01 12:00:00,False,False,False,True,False,True
1904.0,4,1,2016,1,1,13,Friday,53,1,2016-01-01,1,01-01 13:00:00,False,False,False,True,False,True
1890.0,4,1,2016,1,1,14,Friday,53,1,2016-01-01,1,01-01 14:00:00,False,False,False,True,False,True
1886.0,4,1,2016,1,1,15,Friday,53,1,2016-01-01,1,01-01 15:00:00,False,False,False,True,False,True
1890.0,4,1,2016,1,1,16,Friday,53,1,2016-01-01,1,01-01 16:00:00,False,False,False,True,False,True
1924.0,4,1,2016,1,1,17,Friday,53,1,2016-01-01,1,01-01 17:00:00,False,False,False,True,False,True
2039.0,4,1,2016,1,1,18,Friday,53,1,2016-01-01,1,01-01 18:00:00,False,False,False,True,False,True
2079.0,4,1,2016,1,1,19,Friday,53,1,2016-01-01,1,01-01 19:00:00,False,False,False,True,False,True
2058.0,4,1,2016,1,1,20,Friday,53,1,2016-01-01,1,01-01 20:00:00,False,False,False,True,False,True
2029.0,4,1,2016,1,1,21,Friday,53,1,2016-01-01,1,01-01 21:00:00,False,False,False,True,False,True
1982.0,4,1,2016,1,1,22,Friday,53,1,2016-01-01,1,01-01 22:00:00,False,False,False,True,False,True
1910.0,4,1,2016,1,1,23,Friday,53,1,2016-01-01,1,01-01 23:00:00,False,False,False,True,False,True
1846.0,5,2,2016,1,1,0,Saturday,53,2,2016-01-02,1,01-02 00:00:00,False,False,False,True,True,False
1786.0,5,2,2016,1,1,1,Saturday,53,2,2016-01-02,1,01-02 01:00:00,False,False,False,True,True,False
1737.0,5,2,2016,1,1,2,Saturday,53,2,2016-01-02,1,01-02 02:00:00,False,False,False,True,True,False
1713.0,5,2,2016,1,1,3,Saturday,53,2,2016-01-02,1,01-02 03:00:00,False,False,False,True,True,False
1706.0,5,2,2016,1,1,4,Saturday,53,2,2016-01-02,1,01-02 04:00:00,False,False,False,True,True,False
1727.0,5,2,2016,1,1,5,Saturday,53,2,2016-01-02,1,01-02 05:00:00,False,False,False,True,True,False
1771.0,5,2,2016,1,1,6,Saturday,53,2,2016-01-02,1,01-02 06:00:00,False,False,False,True,True,False
1843.0,5,2,2016,1,1,7,Saturday,53,2,2016-01-02,1,01-02 07:00:00,False,False,False,True,True,False
1934.0,5,2,2016,1,1,8,Saturday,53,2,2016-01-02,1,01-02 08:00:00,False,False,False,True,True,False
1951.0,5,2,2016,1,1,9,Saturday,53,2,2016-01-02,1,01-02 09:00:00,False,False,False,True,True,False
1975.0,5,2,2016,1,1,10,Saturday,53,2,2016-01-02,1,01-02 10:00:00,False,False,False,True,True,False
1988.0,5,2,2016,1,1,11,Saturday,53,2,2016-01-02,1,01-02 11:00:00,False,False,False,True,True,False
1947.0,5,2,2016,1,1,12,Saturday,53,2,2016-01-02,1,01-02 12:00:00,False,False,False,True,True,False
1918.0,5,2,2016,1,1,13,Saturday,53,2,2016-01-02,1,01-02 13:00:00,False,False,False,True,True,False
1855.0,5,2,2016,1,1,14,Saturday,53,2,2016-01-02,1,01-02 14:00:00,False,False,False,True,True,False
1807.0,5,2,2016,1,1,15,Saturday,53,2,2016-01-02,1,01-02 15:00:00,False,False,False,True,True,False
1780.0,5,2,2016,1,1,16,Saturday,53,2,2016-01-02,1,01-02 16:00:00,False,False,False,True,True,False
1791.0,5,2,2016,1,1,17,Saturday,53,2,2016-01-02,1,01-02 17:00:00,False,False,False,True,True,False
1924.0,5,2,2016,1,1,18,Saturday,53,2,2016-01-02,1,01-02 18:00:00,False,False,False,True,True,False
2012.0,5,2,2016,1,1,19,Saturday,53,2,2016-01-02,1,01-02 19:00:00,False,False,False,True,True,False
1997.0,5,2,2016,1,1,20,Saturday,53,2,2016-01-02,1,01-02 20:00:00,False,False,False,True,True,False
1984.0,5,2,2016,1,1,21,Saturday,53,2,2016-01-02,1,01-02 21:00:00,False,False,False,True,True,False
1942.0,5,2,2016,1,1,22,Saturday,53,2,2016-01-02,1,01-02 22:00:00,False,False,False,True,True,False
1875.0,5,2,2016,1,1,23,Saturday,53,2,2016-01-02,1,01-02 23:00:00,False,False,False,True,True,False
1798.0,6,3,2016,1,1,0,Sunday,53,3,2016-01-03,1,01-03 00:00:00,False,False,False,True,True,False
1733.0,6,3,2016,1,1,1,Sunday,53,3,2016-01-03,1,01-03 01:00:00,False,False,False,True,True,False
1683.0,6,3,2016,1,1,2,Sunday,53,3,2016-01-03,1,01-03 02:00:00,False,False,False,True,True,False
